Timestamp,Price (USD)
2024-11-12 13:50:19.461714,89398
2024-11-12 13:50:27.867316,89398
2024-11-12 13:55:40.571731,89342
2024-11-12 14:02:07.422611,89292
2024-11-12 14:03:07.627776,89292
2024-11-12 14:04:07.826950,89082
2024-11-12 14:05:08.125115,89082
2024-11-12 16:11:02.293741,87131
2024-11-12 16:12:02.345311,87131
